view_count	title_talk	categories	duration_talk	like_count	dislike_count	average_rating	talkid	rownr	film_date	published_date	comments	description	duration_vid	event	main_speaker	name	num_speaker	speaker_occupation	title_vid	views
52330	Nathalie Miebach: Art made of storms	['Science & Technology']	259	478	122	4.18666648865	MbhNaj88uL4	1042	1310342400	1319210274	148	Artist Nathalie Miebach takes weather data from massive storms and turns it into complex sculptures that embody the forces of nature and time. These sculptures then become musical scores for a string quartet to play.	259	TEDGlobal 2011	Nathalie Miebach	Nathalie Miebach: Art made of storms	1	Artist	Art made of storms	729857
1108655	Why is our universe fine-tuned for life? | Brian Greene	['Science & Technology']	1308	15241	781	4.80501794815	bf7BXwVeyWw	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
190898	4 ways to make a city more walkable | Jeff Speck	['Education']	1117	4977	126	4.90123462677	6cL5Nud8d7w	1601	1379635200	1381763957	124	"How do we solve the problem of the suburbs? Urbanist Jeff Speck shows how we can free ourselves from dependence on the car -- which he calls ""a gas-belching, time-wasting, life-threatening prosthetic device"" -- by making our cities more walkable and more pleasant for more people."	1016	TEDCity2.0	Jeff Speck	Jeff Speck: The walkable city	1	Urban planner	The walkable city	1041732
190898	4 ways to make a city more walkable | Jeff Speck	['Education']	1117	4977	126	4.90123462677	6cL5Nud8d7w	2379	1382659200	1486655714	33	"Freedom from cars, freedom from sprawl, freedom to walk your city! City planner Jeff Speck shares his ""general theory of walkability"" -- four planning principles to transform sprawling cities of six-lane highways and 600-foot blocks into safe, walkable oases full of bike lanes and tree-lined streets."	1117	TEDxMidAtlantic	Jeff Speck	Jeff Speck: 4 ways to make a city more walkable	1	Urban planner	4 ways to make a city more walkable	1354647
70099	We should all be feminists | Chimamanda Ngozi Adichie	['People & Blogs']	1768	3344	5555	2.5030901432	S6ufvYWTqQ0	2430	1354320000	1492181577	55	We teach girls that they can have ambition, but not too much ... to be successful, but not too successful, or they'll threaten men, says author Chimamanda Ngozi Adichie. In this classic talk that started a worldwide conversation about feminism, Adichie asks that we begin to dream about and plan for a different, fairer world -- of happier men and women who are truer to themselves.	1768	TEDxEuston	Chimamanda Ngozi Adichie	Chimamanda Ngozi Adichie: We should all be feminists	1	Novelist	We should all be feminists	1318454
79139	Jean-Baptiste Michel: The mathematics of history	['People & Blogs']	266	899	93	4.625	RkTE1LZ_tLk	1232	1330300800	1337094009	101	What can mathematics say about history? According to TED Fellow Jean-Baptiste Michel, quite a lot. From changes to language to the deadliness of wars, he shows how digitized history is just starting to reveal deep underlying patterns.	266	TED2012	Jean-Baptiste Michel	Jean-Baptiste Michel: The mathematics of history	1	Data researcher	The mathematics of history	1183303
7058613	The power of vulnerability | Brené Brown	['Science & Technology']	1250	75010	1534	4.91983699799	iCvmsMzlF7o	837	1275782400	1293115500	1927	Brené Brown studies human connection -- our ability to empathize, belong, love. In a poignant, funny talk, she shares a deep insight from her research, one that sent her on a personal quest to know herself as well as to understand humanity. A talk to share.	1219	TEDxHouston	Brené Brown	Brené Brown: The power of vulnerability	1	Vulnerability researcher	The power of vulnerability	31168150
859100	The danger of silence | Clint Smith	['People & Blogs']	263	13797	430	4.87910318375	NiKtZgImdlY	1801	1404777600	1408117565	293	"""We spend so much time listening to the things people are saying that we rarely pay attention to the things they don't,"" says poet and teacher Clint Smith. A short, powerful piece from the heart, about finding the courage to speak up against ignorance and injustice."	258	TED@NYC	Clint Smith	Clint Smith: The danger of silence	1	Poet, educator	The danger of silence	3804535
80043	James Geary, metaphorically speaking	['Entertainment']	645	823	65	4.70720720291	2cU56SWXHFw	576	1248393600	1261064880	115	Aphorism enthusiast and author James Geary waxes on a fascinating fixture of human language: the metaphor. Friend of scribes from Aristotle to Elvis, metaphor can subtly influence the decisions we make, Geary says.	570	TEDGlobal 2009	James Geary	James Geary: Metaphorically speaking	1	Aphorist	Metaphorically speaking	819664
174605	"David Hanson: Robots that ""show emotion"""	['Science & Technology']	450	570	59	4.6248011589099995	wjW-v0IPT_M	534	1233705600	1255395600	178	"David Hanson's robot faces look and act like yours: They recognize and respond to emotion, and make expressions of their own. Here, an ""emotional"" live demo of the Einstein robot offers a peek at a future where robots truly mimic humans."	297	TED2009	David Hanson	"David Hanson: Robots that ""show emotion"""	1	Robotics designer	"Robots that ""show emotion"""	906262
