id	name	count	talkid
24	'Persuasive'	423	Rl2LwnaUA-k
26	'Obnoxious'	15	Rl2LwnaUA-k
25	'OK'	107	Rl2LwnaUA-k
8	'Informative'	222	9ZwNaaJxw40
10	'Inspiring'	177	9ZwNaaJxw40
22	'Fascinating'	78	9ZwNaaJxw40
21	'Unconvincing'	27	9ZwNaaJxw40
11	'Longwinded'	38	9ZwNaaJxw40
3	'Courageous'	137	9ZwNaaJxw40
1	'Beautiful'	29	9ZwNaaJxw40
9	'Ingenious'	47	9ZwNaaJxw40
2	'Confusing'	8	9ZwNaaJxw40
25	'OK'	31	9ZwNaaJxw40
23	'Jaw-dropping'	31	9ZwNaaJxw40
24	'Persuasive'	73	9ZwNaaJxw40
26	'Obnoxious'	3	9ZwNaaJxw40
7	'Funny'	1	9ZwNaaJxw40
3	'Courageous'	1417	oEZrAGdZ1i8
10	'Inspiring'	1286	oEZrAGdZ1i8
22	'Fascinating'	466	oEZrAGdZ1i8
8	'Informative'	453	oEZrAGdZ1i8
9	'Ingenious'	37	oEZrAGdZ1i8
1	'Beautiful'	308	oEZrAGdZ1i8
7	'Funny'	95	oEZrAGdZ1i8
11	'Longwinded'	54	oEZrAGdZ1i8
21	'Unconvincing'	39	oEZrAGdZ1i8
2	'Confusing'	16	oEZrAGdZ1i8
23	'Jaw-dropping'	121	oEZrAGdZ1i8
25	'OK'	44	oEZrAGdZ1i8
24	'Persuasive'	128	oEZrAGdZ1i8
26	'Obnoxious'	28	oEZrAGdZ1i8
11	'Longwinded'	245	vbLEf4HR74E
10	'Inspiring'	3774	vbLEf4HR74E
7	'Funny'	400	vbLEf4HR74E
1	'Beautiful'	1621	vbLEf4HR74E
21	'Unconvincing'	88	vbLEf4HR74E
22	'Fascinating'	1170	vbLEf4HR74E
8	'Informative'	863	vbLEf4HR74E
9	'Ingenious'	106	vbLEf4HR74E
3	'Courageous'	194	vbLEf4HR74E
2	'Confusing'	109	vbLEf4HR74E
24	'Persuasive'	618	vbLEf4HR74E
23	'Jaw-dropping'	139	vbLEf4HR74E
25	'OK'	268	vbLEf4HR74E
26	'Obnoxious'	28	vbLEf4HR74E
3	'Courageous'	423	7Q25-S7jzgs
10	'Inspiring'	1074	7Q25-S7jzgs
9	'Ingenious'	344	7Q25-S7jzgs
22	'Fascinating'	589	7Q25-S7jzgs
8	'Informative'	1014	7Q25-S7jzgs
7	'Funny'	254	7Q25-S7jzgs
2	'Confusing'	35	7Q25-S7jzgs
1	'Beautiful'	91	7Q25-S7jzgs
21	'Unconvincing'	76	7Q25-S7jzgs
11	'Longwinded'	76	7Q25-S7jzgs
24	'Persuasive'	2163	7Q25-S7jzgs
26	'Obnoxious'	41	7Q25-S7jzgs
25	'OK'	89	7Q25-S7jzgs
23	'Jaw-dropping'	157	7Q25-S7jzgs
8	'Informative'	140	NA
9	'Ingenious'	195	NA
22	'Fascinating'	261	NA
2	'Confusing'	65	NA
3	'Courageous'	12	NA
7	'Funny'	34	NA
10	'Inspiring'	64	NA
11	'Longwinded'	9	NA
21	'Unconvincing'	23	NA
1	'Beautiful'	15	NA
23	'Jaw-dropping'	98	NA
25	'OK'	40	NA
24	'Persuasive'	9	NA
26	'Obnoxious'	9	NA
8	'Informative'	680	NA
3	'Courageous'	262	NA
10	'Inspiring'	166	NA
22	'Fascinating'	300	NA
9	'Ingenious'	184	NA
21	'Unconvincing'	129	NA
11	'Longwinded'	57	NA
7	'Funny'	30	NA
2	'Confusing'	43	NA
1	'Beautiful'	14	NA
24	'Persuasive'	1352	NA
25	'OK'	61	NA
23	'Jaw-dropping'	77	NA
26	'Obnoxious'	43	NA
8	'Informative'	551	aSyAwuQPMRo
22	'Fascinating'	282	aSyAwuQPMRo
11	'Longwinded'	71	aSyAwuQPMRo
2	'Confusing'	81	aSyAwuQPMRo
10	'Inspiring'	246	aSyAwuQPMRo
9	'Ingenious'	186	aSyAwuQPMRo
3	'Courageous'	79	aSyAwuQPMRo
21	'Unconvincing'	115	aSyAwuQPMRo
7	'Funny'	30	aSyAwuQPMRo
1	'Beautiful'	11	aSyAwuQPMRo
24	'Persuasive'	1008	aSyAwuQPMRo
23	'Jaw-dropping'	63	aSyAwuQPMRo
25	'OK'	69	aSyAwuQPMRo
26	'Obnoxious'	37	aSyAwuQPMRo
10	'Inspiring'	207	W5vka0MRzXs
22	'Fascinating'	57	W5vka0MRzXs
8	'Informative'	171	W5vka0MRzXs
21	'Unconvincing'	104	W5vka0MRzXs
3	'Courageous'	56	W5vka0MRzXs
2	'Confusing'	19	W5vka0MRzXs
11	'Longwinded'	94	W5vka0MRzXs
9	'Ingenious'	14	W5vka0MRzXs
1	'Beautiful'	28	W5vka0MRzXs
24	'Persuasive'	48	W5vka0MRzXs
23	'Jaw-dropping'	28	W5vka0MRzXs
25	'OK'	44	W5vka0MRzXs
26	'Obnoxious'	9	W5vka0MRzXs
7	'Funny'	2	W5vka0MRzXs
9	'Ingenious'	310	NA
22	'Fascinating'	513	NA
8	'Informative'	262	NA
10	'Inspiring'	228	NA
1	'Beautiful'	78	NA
7	'Funny'	51	NA
2	'Confusing'	4	NA
11	'Longwinded'	13	NA
21	'Unconvincing'	7	NA
3	'Courageous'	9	NA
23	'Jaw-dropping'	116	NA
24	'Persuasive'	26	NA
25	'OK'	21	NA
26	'Obnoxious'	14	NA
22	'Fascinating'	1137	7n36qV4Lk94
9	'Ingenious'	412	7n36qV4Lk94
8	'Informative'	657	7n36qV4Lk94
21	'Unconvincing'	38	7n36qV4Lk94
11	'Longwinded'	19	7n36qV4Lk94
10	'Inspiring'	365	7n36qV4Lk94
1	'Beautiful'	317	7n36qV4Lk94
7	'Funny'	73	7n36qV4Lk94
2	'Confusing'	45	7n36qV4Lk94
3	'Courageous'	39	7n36qV4Lk94
23	'Jaw-dropping'	954	7n36qV4Lk94
24	'Persuasive'	102	7n36qV4Lk94
25	'OK'	51	7n36qV4Lk94
26	'Obnoxious'	15	7n36qV4Lk94
2	'Confusing'	276	Z4PwHD7XKj0
11	'Longwinded'	192	Z4PwHD7XKj0
7	'Funny'	855	Z4PwHD7XKj0
22	'Fascinating'	334	Z4PwHD7XKj0
10	'Inspiring'	711	Z4PwHD7XKj0
1	'Beautiful'	201	Z4PwHD7XKj0
3	'Courageous'	175	Z4PwHD7XKj0
9	'Ingenious'	216	Z4PwHD7XKj0
21	'Unconvincing'	165	Z4PwHD7XKj0
8	'Informative'	103	Z4PwHD7XKj0
25	'OK'	129	Z4PwHD7XKj0
23	'Jaw-dropping'	68	Z4PwHD7XKj0
24	'Persuasive'	88	Z4PwHD7XKj0
26	'Obnoxious'	67	Z4PwHD7XKj0
7	'Funny'	296	UuRxRGR3VpM
1	'Beautiful'	372	UuRxRGR3VpM
22	'Fascinating'	483	UuRxRGR3VpM
11	'Longwinded'	57	UuRxRGR3VpM
2	'Confusing'	55	UuRxRGR3VpM
8	'Informative'	509	UuRxRGR3VpM
